idx,u
1,.000000000000
2,.000000000000
3,.000000000000
4,.000000000000
5,.000000000000
6,.000000000000
7,.000000000000
8,.000000000000
9,.000000000000
10,.000000000000
11,.000000000000
12,.000000000000
13,.000000000000
14,.000000000000
15,.000000000000
16,.000000000000
17,.000000000000
18,.000000000000
19,.000000000000
20,.000000000000
21,.000000000000
22,.000000000000
23,.000000000000
24,.000000000000
25,.000000000000
26,.000000000000
27,.000000000000
28,.000000000000
29,.000000000000
30,.000000000000
31,.000000000000
32,.011708402972
33,.023264874005
34,.034540235843
35,.045405310115
36,.055734382013
37,.065407383211
38,.074311594947
39,.082343109389
40,.089408121879
41,.095424073630
42,.100320646566
43,.104040605742
44,.106540483172
45,.107791097160
46,.107777902292
47,.106501166858
48,.103975976305
49,.100232063265
50,.095313466830
51,.089278025941
52,.082196714081
53,.074152825184
54,.065241023997
55,.055566279150
56,.045242706514
57,.034392371138
58,.023144151537
59,.011632937739
60,.000000000000
61,.000000000000
62,.023264874005
63,.046237078101
64,.068653791961
65,.090256279799
66,.110793899676
67,.130027632591
68,.147733217414
69,.163703970187
70,.177753320491
71,.189717069692
72,.199455362682
73,.206854359852
74,.211827595301
75,.214317008686
76,.214293640795
77,.211757986198
78,.206740000009
79,.199298759824
80,.189521787959
81,.177524043438
82,.163446597763
83,.147455013264
84,.129737448703
85,.110502524161
86,.089976988346
87,.068403250211
88,.046036869591
89,.023144151537
90,.000000000000
91,.000000000000
92,.034540235843
93,.068653791961
94,.101946417489
95,.134031955411
96,.164537228286
97,.193106758059
98,.219407188357
99,.243131367230
100,.264002066122
101,.281775310786
102,.296243298233
103,.307236874062
104,.314627546534
105,.318329017419
106,.318298214110
107,.314535812778
108,.307086247897
109,.296037209448
110,.281518635191
111,.263701211659
112,.242794403908
113,.219044040757
114,.192729489249
115,.164160459990
116,.133673493968
117,.101628191366
118,.068403250211
119,.034392371138
120,.000000000000
121,.000000000000
122,.045405310115
123,.090256279799
124,.134031955411
125,.176223006252
126,.216337801010
127,.253908346708
128,.288495942267
129,.319696457133
130,.347145172585
131,.370521135010
132,.389550976812
133,.404012165662
134,.413735648153
135,.418607859977
136,.418572081382
137,.413629123836
138,.403837341470
139,.389311968616
140,.370223792801
141,.346797180600
142,.319307481812
143,.288077845500
144,.253475489387
145,.215907471839
146,.175816022734
147,.133673493968
148,.089976988346
149,.045242706514
150,.000000000000
151,.000000000000
152,.055734382013
153,.110793899676
154,.164537228286
155,.216337801010
156,.265591172689
157,.311722190059
158,.354191837034
159,.392503650819
160,.426209624961
161,.454915529054
162,.478285584687
163,.496046445456
164,.507990437068
165,.513978021757
166,.513939460062
167,.507875652111
168,.495858150002
169,.478028342576
170,.454595823582
171,.425835964013
172,.392086718995
173,.353744708891
