idx,u
1,.000000000000
2,.000000000000
3,.000000000000
4,.000000000000
5,.000000000000
6,.000000000000
7,.000000000000
8,.000000000000
9,.000000000000
10,.000000000000
11,.000000000000
12,.000000000000
13,.000000000000
14,.000000000000
15,.000000000000
16,.000000000000
17,.000000000000
18,.000000000000
19,.000000000000
20,.000000000000
21,.000000000000
22,.000000000000
23,.000000000000
24,.000000000000
25,.000000000000
26,.000000000000
27,.000000000000
28,.000000000000
29,.000000000000
30,.000000000000
31,.000000000000
32,.000019314745
33,.000039689625
34,.000061615989
35,.000085209263
36,.000110328769
37,.000136651005
38,.000163722155
39,.000190998506
40,.000217878869
41,.000243731338
42,.000267915783
43,.000289803040
44,.000308791445
45,.000324321158
46,.000335886645
47,.000343047561
48,.000345438239
49,.000342775956
50,.000334868124
51,.000321618538
52,.000303032816
53,.000279223192
54,.000250412792
55,.000216939597
56,.000179260264
57,.000137954051
58,.000093727083
59,.000047417241
60,.000000000000
61,.000000000000
62,.000036711421
63,.000075513265
64,.000117378984
65,.000162544358
66,.000210743034
67,.000261350478
68,.000313487005
69,.000366096951
70,.000418012110
71,.000468003978
72,.000514827626
73,.000557259055
74,.000594127326
75,.000624342399
76,.000646919340
77,.000660999428
78,.000665868556
79,.000660973269
80,.000645934725
81,.000620560853
82,.000584856982
83,.000539035230
84,.000483522961
85,.000418970650
86,.000346259569
87,.000266509710
88,.000181088454
89,.000091620549
90,.000000000000
91,.000000000000
92,.000050332320
93,.000103726041
94,.000161618241
95,.000224374628
96,.000291632698
97,.000362511181
98,.000435759642
99,.000509873163
100,.000583183974
101,.000653936698
102,.000720351364
103,.000780676909
104,.000833237103
105,.000876470238
106,.000908963604
107,.000929483513
108,.000937001474
109,.000930717017
110,.000910077606
111,.000874796044
112,.000824865777
113,.000760574514
114,.000682516635
115,.000591604892
116,.000489081989
117,.000376532669
118,.000255897066
119,.000129486125
120,.000000000000
121,.000000000000
122,.000058439405
123,.000120823242
124,.000189024484
125,.000263552426
126,.000343991478
127,.000429268479
128,.000517843051
129,.000607852988
130,.000697229932
131,.000783793966
132,.000865332470
133,.000939666828
134,.001004709454
135,.001058512939
136,.001099312631
137,.001125563666
138,.001135973249
139,.001129528826
140,.001105522750
141,.001063573947
142,.001003647137
143,.000926070164
144,.000831550016
145,.000721188233
146,.000596496432
147,.000459412799
148,.000312320505
149,.000158069087
150,.000000000000
151,.000000000000
152,.000059471679
153,.000123655429
154,.000194823154
155,.000273644635
156,.000359706376
157,.000451826838
158,.000548279971
159,.000646965054
160,.000745541046
161,.000841535757
162,.000932436311
163,.001015765210
164,.001089145012
165,.001150353815
166,.001197373169
167,.001228429646
168,.001242031062
169,.001236998159
170,.001212492451
171,.001168040904
172,.001103558098
173,.001019366549
